Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
25–34 years,21.01,0:01:08,0.67,18.3
35–44 years,20.17,0:01:36,0.94,24.65
45–54 years,23.53,0:01:23,0.82,25.07
55–64 years,35.29,0:01:11,0.7,31.98
