Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
13–17 years,1.82,0:00:52,0.54,1.34
18–24 years,14.08,0:01:03,0.65,12.53
25–34 years,21.38,0:01:00,0.62,18.2
35–44 years,20.53,0:01:13,0.75,21.25
45–54 years,19.41,0:01:18,0.8,21.31
55–64 years,14.66,0:01:13,0.75,15.12
65+ years,8.11,0:01:29,0.92,10.25
