Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
13–17 years,2.31,0:02:21,1.17,1.87
18–24 years,10.47,0:02:34,1.27,9.25
25–34 years,12.43,0:02:29,1.24,10.68
35–44 years,10.43,0:02:16,1.12,8.14
45–54 years,16.48,0:02:36,1.29,14.76
55–64 years,24.07,0:03:06,1.54,25.74
65+ years,23.81,0:03:36,1.79,29.56
