Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
13–17 years,1.98,0:01:53,0.48,1.59
18–24 years,11.1,0:02:12,0.56,10.43
25–34 years,12.5,0:02:09,0.55,11.44
35–44 years,9.01,0:02:10,0.55,8.33
45–54 years,13.97,0:02:07,0.54,12.58
55–64 years,23.46,0:02:22,0.6,23.58
65+ years,27.98,0:02:41,0.69,32.03
