Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
13–17 years,2.1,0:02:38,0.57,1.95
18–24 years,9.64,0:02:51,0.62,9.67
25–34 years,11.6,0:02:43,0.59,11.1
35–44 years,9.38,0:02:26,0.54,8.03
45–54 years,14.71,0:02:43,0.6,14.08
55–64 years,25.44,0:02:49,0.61,25.27
65+ years,27.13,0:03:08,0.66,29.91
