Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
18–24 years,11.97,0:01:19,0.58,12.43
25–34 years,12.3,0:01:00,0.44,9.71
35–44 years,21.36,0:01:16,0.56,21.57
45–54 years,28.16,0:01:20,0.59,29.65
55–64 years,26.21,0:01:17,0.57,26.63
